ID,grad_year,grad_sem,full_title,title,subtitle,loc,lat,long,abstract
1,2009,Fall,'Territories in between': A comparative permeability study of two European regions between urban and rural - local and global,'Territories in between',A comparative permeability study of two European regions between urban and rural - local and global,Austria + Netherlands,52.3544331,4.9995131,"The in between city is often used to name areas which are neither urban nor rural, where “the sharp distinction between city and landscape has dissolved into an ecological and cultural continuum of a built structure between city and landscape”. Sieverts in (Huhlmann, 2007). The Thesis aims to gain a better understanding of how these territories function and how they perform according to social, economic and ecological planning goals, by developing an approach using the concept of ‘Permeability’, which I define as the property and capacity of the territory that facilitates connections and therefore flows. As a first step a classification on the regional scale to identify the ‘Territories in Between’ using two deliberately distinct and different case study areas (the province of South Holland in the Netherlands and the state of The Tyrol in Austria), is undertaken to later be able to draw conclusions which are valid in the European context. An integrated approach using the concept of permeability based on the understanding of these territories as both a place (a site or territory) and as a number of often just loosely bounded, relatively disconnected and dispersed, perhaps sprawling activities, made in and through many different kinds of networks, is used to gain a better understanding of the ‘Territories in Between’ in the two test case areas. Through the combination of economic, social and ecological as well as mapable permeability indicators, the territories can be investigated in a moderate relationalism which allows overcoming the ‘network versus territories’ as well as the ‘human versus nature’ divide. “On the one hand, networks should not be seen as non-spatial and without ‘geographical anchors’ and on the other hand, territories and scales should not be viewed as closed and static.” (Jones, 2009) Following this idea the indicators are chosen according to their suitability to establish a relationship between the territory and the flows within the landscape, describing the traces of these flows. Finally general planning and design principles are developed, which are based on a relational and not functional understanding of the ‘Territories in Between’, by comparing the indicators and the results within the different case study areas."
2,2014,Spring,(Re-)designing the planning process: The case study of Panepistimiou Street in Athens,(Re-)designing the planning process,The case study of Panepistimiou Street in Athens,"Athens, Greece",37.9755648,23.7348324,"This diploma thesis explores the Greek planning tradition and practice and its capacity to address the real urgencies of the urban environment and deliver long-term benefits to society and the economy. An overview of recent regeneration proposals is presented in order to investigate the reasons why planning in Greece is said to have weak influence. The evidence presented is essentially reinforced by the extensive study of an on-going regeneration project that takes place in the city centre of Athens: the case study of Panepistimiou Street. The so-called “university” street-one of the major traffic axes of Athens- is currently planned to be transformed into a large pedestrian avenue with public transportation flows. The case study is evaluated in order to understand the “how” and the “what” of the urban proposal: What is the vision that is leading the project of urban transformation and what are the tools that are used to implement the project? Finally, what effect do these interventions have on the urban environment of the city centre? Following this research, the thesis focuses on the construction of alternative ways to intervene in the city through the tool of strategic spatial planning. The aim is to explore the tool, its definition, origin and main principles, and introduce four values that guide the proposal for the area. These are the qualities of a visionary, relational, integrative and action-oriented plan. In such a framework, Panepistimiou becomes the testbed for a coherent and coordinated process of urban regeneration. A new vision for the area is suggested but also a set of actors, processes and institutional provisions is employed. The thesis concludes with a reflection and evaluation of the proposed process. How is it different from the existing project approach and what broader transformation is suggested for the way 21st century urbanists plan and intervene to the city? In the context of the Greek planning system, what institutional provisions are needed to be added for strategic interventions to take place in the future?"
3,2016,Spring,35°6′54″N 33°56′33″E Terra Incognita_: Towards common imaginaries for a Shared Cyprus,35°6′54″N 33°56′33″E Terra Incognita_,Towards common imaginaries for a Shared Cyprus,"Famagusta, Cyprus",35.1245436,33.9325419,"Focusing on the case of Cyprus, the thesis explores the relationship between urban space and group conflict and the relevance of spatial planning and urban design practices in conflict resolution. –Urban– space is suggested as a prism through which to understand and address the challenges of the contested city. Famagusta, a city on the eastern coast of Cyprus, is used as a demonstration site for exploring ‘urban peacebuilding’ strategies seen through the lens of spatial practices. The Turkish invasion of 1974 resulted in the territorial division and occupation of 37% of the Island’s territory, while its two main communities, the Greek and the Turkish Cypriots, have remained alienated ever since. The partition and the presence of a violent buffer zone a ‘no man’s land’ along the islands’ east west axis, is the driving force behind a country of two systems and two cultures. Partition was to affect most dramatically the political geography of future development in Famagusta. On August 14th 1974, the whole of Famagusta was occupied by the Turkish army and Varosha, its southern suburb, was sealed off as a no-go area under the control of the Turkish Forces undermining the growth and development of the city. From April 2015, a new momentum in politics has given hope to the people of Cyprus for reunification, with Famagusta on the forefront of the negotiations. The research builds upon the potential of a ‘shared Famagusta’ to offer strategic motivations for a ‘shared future’ and a prototype of peaceful coexistence in a reunified Cyprus. How peace can be materialized in the urban environment and how the city could be transformed into an arena where common imaginaries and shared urban narratives are negotiated and developed between warring communities is explored. This work draws attention to the complex connection between space, identity and politics and although addresses the specific context of the Cyprus case, it provides insights to a much wider discussion of academic and societal relevance."
4,2018,Spring,"A Benevolent Future: Towards a strategic spatial framework fostering social resilience - The case of Dharavi, Mumbai",A Benevolent Future,"Towards a strategic spatial framework fostering social resilience - The case of Dharavi, Mumbai","Dharavi, Mumbai",19.044463,72.8586177,"The thesis explores the social potential of space i.e. the social logic of space to enhance resilience of society. As social resilience is defined as the capacity of society to cope, adapt or transform societal relations towards external stress, space that is a ‘construction’ and a function of the structure of society hosts the ability in fostering societal robustness against external perturbations (Alan H. Kwok, 2016; Raffestein 2012; Hillier,1984). <br/>World Global Risks report 2018 considers extreme weather events and natural hazards as a major disturbance towards risk perception (WEF, 2018). At present, Mumbai as well as other cities are at risk from natural and man-made hazards (floods, fires, ethnic violence etc.). Although, Mumbai did witness acts of benevolence by its people during the times of crisis such as the floods, the past and present situation of Mumbai’s spatial and social fragmentation underlines threats towards external stresses. Besides this, the geographical isolation of Mumbai, a man-made archipelago with a population of over 22 million (Review, 2018) makes the accessibility to resources that could maintain and foster resilience even more difficult. Hence, the reliance on social solidarity as a means towards fostering social resilience is a key to safeguarding the future of Mumbai and its people. Although, resilience is not a final state but a process, it is the system’s ability to maintain its integrity and to return to its original state, a state of equilibrium, normality, when it is confronted with a disruption or hazard” (Holling,1973). <br/>Through the case of Dharavi - Mumbai, a historic, unplanned settlement located in the heart of Mumbai that faces challenges and highlights potentials in the formation and maintenance of social solidarity, the thesis aims at developing a strategic spatial framework towards fostering social resilience under the purview of the ‘social logic of space’. It explores the spatial capacity in time to enhance social solidarity against external stresses (man-made and natural).<br"
5,2020,Spring,"A Framework for Transition: Urban Planning Sustainability on Belgrade’s Riverfront, Serbia",A Framework for Transition,"Urban Planning Sustainability on Belgrade’s Riverfront, Serbia","Belgrade, Serbia",44.8178131,20.4568974,"Since the fall of socialism, the production of space in Serbia has been uncoordinated and chaotic, without a clear national policy. Post-socialist countries went through the period of transitioning to free-market and democracy, and this process resulted in hybrid institutional, social, and urban forms. As the global pressures intensify, countries need to employ development mechanisms that will ensure a more sustainable future and slow down the process of global warming. Transitioning to sustainability planning is becoming more urgent, as scientists warn that scenarios for the future in which the business-as-usual approach is carried out bring disastrous consequences to our environment. Many post-socialist countries, such as Serbia, are caught in a path-dependency ideology, trying to position themselves in a global economic network, thus ignoring the social and environmental issues. Current development in Belgrade is shaped by market-driven mega projects that are a result of public-private partnerships. There is also a lack of participation in the planning process, which is institutionally allowed. This leads to the development of the most attractive locations which are predominantly located at the riverfront. This kind of ad hoc development does not follow a comprehensive strategy and leads to fatal consequences such as – loss of biodiversity, social stratification, endangered heritage, loss of sense of place and ultimately: unsustainable development of the riverfront. This thesis provides an overview of the consequences that led to the present state that the country is in regarding urban planning and development. The goal is to examine the implications for transitioning to sustainable urban development, starting from the actual conditions of the Belgrade riverfront territory and the planning procedure in place. Urban planning is a political process that has certain values embedded in it. Instead of adapting the values to the existing procedure, the values should shape the process. The current government has a strong agenda which many citizens protest against and this is why the proposed framework for transition is meant to serve as a starting point for moving towards a comprehensive sustainable planning and development process that would provide real results in the actual state of the riverfront. The framework that is proposed is an altered urban planning process that approaches the riverfront territory holistically, through different scales. This has to be done through a participatory process in which the acceptance of limits, protection of existing qualities and regeneration play an important role. These guiding principles are applied to environmental, social and economic dimension to provide a comprehensive urban planning approach for the sustainable riverfront."
6,2008,Fall,After the Earthquake: Spatial Alternatives for the City of Pisco,After the Earthquake,Spatial Alternatives for the City of Pisco,"Pisco, Peru",-13.7099813,-76.2029793,NA
7,2013,Spring,Almere in Water: Integration of spatial planning and water management for climate adaptive urban development,Almere in Water,Integration of spatial planning and water management for climate adaptive urban development,"Almere, Netherlands",52.3705038,5.2185859,Integration of Spatial Planning and Water Management for Climate Adaptive Urban Development
8,2020,Spring,Amazon Way: Territorial Co-creation for Life in the Peruvian Amazon Waterway,Amazon Way,Territorial Co-creation for Life in the Peruvian Amazon Waterway,"Amazon, Peru",-12.5939467,-69.1755425,"Growth-oriented Development in the Peruvian Amazonia commodifies its biocultural diversity. Thus, inscribed in a path dependence of unfulfilled promises of local development, the Amazon Waterway Project seeks to create an international trade chain connecting produce from Manaus in Brazil to China by dredging the four most important Peruvian Amazonian rivers. In such a complex territory, the execution of the Amazon Waterway Project represents both a risk of widening the territorial unevenness gap and a challenge for creating alternative development. In this regard, the research shows the relevance of spatial planning and design looking upon the talents, opportunities and knowledge of the territory to create new shared understandings for a holistic development. This would pursue social and ecological wellbeing by involving local and global agents, as well as reframing big scale infrastructure projects as integral development opportunities. The main goal is to build a cooperative relationship of Amazonian cities and communities. Therefore, a landscape economy strategy is envisioned at multiple scales as a start for a co-creation process. This includes a series of interventions, guides, protocols and dialogue spaces towards the construction of a New Amazon Pact."
9,2011,Fall,"Athens: A sequence of changing political paradigms, changing migrational spaces",Athens,"A sequence of changing political paradigms, changing migrational spaces","Athens, Greece",37.9755648,23.7348324,NA
10,2011,Fall,Barcelona: Energy + Urban Form,Barcelona,Energy + Urban Form,"Barcelona, Spain",41.3828939,2.1774322,"Contemporary cities, established largely around stable supplies of materials and plentiful access to energy sources, will be seriously affected by sudden changes in supply - particularly if technology cannot cater for consumption demands. This thesis explores energy consumption and energy dependency, framed in terms of urban density, using the Barcelona Metropolitan Area as a case study."
11,2015,Fall,Beyond the Edge: Complexity Approach to Urban Fringes,Beyond the Edge,Complexity Approach to Urban Fringes,"Pune, India",18.521428,73.8544541,"After Mumbai, Pune is the second largest city in the state of Maharashtra. With the city’s growing popularity its urban population is expected to double in coming 20 years; while the area governed by Pune planning authorities will double in next five years. The current planning approach is based on differentiated land use which focuses on territorial scales and long term goals. In this planning approach, everyday life processes tend to be ignored. This causes problems which are most prominent in the urban fringes. Fringe areas are vital in the growth and prosperity of the region as a whole. For its weak institutional situation the fringe lands urbanize in an unpremeditated manner and the potentials of its diverse environments degrade by the time the area begins to develop fully. We address this issue with a focus on complexity theories of cities (CTC). Herein, the city is viewed as a complex system characterized by the interaction of dynamics from the bottom-up and top-down forces. With this insight the proposed complexity approach explores into local dynamics and investigates how they can be taken into account to include contextual qualities. This is done by using micro-stories that describe the day-to-day life of families, including previous generations and their socio-spatial context. This information helps interpret the territory in a manner so as to build plausible visions. From this approach we attempt to outline - how a weak institutional environment in the current planning system may be strengthened towards a more inclusive process of urbanization."
12,2013,Spring,Blue Stitches for a Broken City: Exploring the potential of drainage basins as backbone for improving the living environment in Las Cruces Mountain Range,Blue Stitches for a Broken City,Exploring the potential of drainage basins as backbone for improving the living environment in Las Cruces Mountain Range,"Las Cruces, Mexico",19.1842297,-99.8521661,"Mexico City is built on a dissected lake and the urban expansion has appropriated the mountains surrounding the valley. This has brought environmental issues mostly related with water, but also problems related with the whole living environment on the territory of the mountains. So far problems of the city have been addressed either as valley or as mountain, not as a single system. The thesis takes one river and its drainage basin as case study that can be replicated in the rest of rivers of the city. The focus of study addresses the ecological regeneration of the drainage basin as starting point for regenerating the living conditions and joint that articulates the territory of the mountain with the valley. The geomorphological characteristics of the drainage basin are taken as backbone to define a spatial strategy that can be replicated and shift the city towards a more balanced metropolis."
13,2013,Spring,Bucharest: Between North and South,Bucharest,Between North and South,"Bucharest, Romania",44.4361414,26.1027202,"Bucharest, as many other cities, is a divided city. This urban divide is described here as the result of a dense historic stratification of unfinished urban projects, in terms of current socio-economic processes, and as related to the conflict between the structure of the city and its wider environment. Rather than targeting the less developed half of the city, the proposed strategy addresses the area of interaction between the two sides: the valley. Born from the former floodplain of Dâmbovi?a, the river crossing Bucharest's very center, here the valley is structurally defined on the West-East direction, while the three case studies show the details of the intervention meant to improve the integration between North and South. The work is concluded with a reflection on the possible wider effects of the intervention and initiates a debate on how the structure of the city might change into a configuration that has a more synergistic relation with the territory."
14,2010,Spring,Bucharest 2025: A new paradigm,Bucharest 2025,A new paradigm,"Bucharest, Romania",44.4361414,26.1027202,"Bucharest is an urban palimpsest, its spatial characteristics bearing the trace of all ideological changes within its urban fabric. Its accelerated development in two stages (1850s- 1930s and 1950s-1989) generated a superposition of fragmented urban projects (signs of various stages of modernity) that were never finished. These stages in its evolution were generated by advances in technology and therefore the reformulation of the infrastructural framework, and changes in the perception of open-spaces as main arenas of publicness. After 1989, the inability of the City to produce a new infrastructural paradigm and its careless treatment of the open-space through market speculation produced chaotic development, extreme fragmentation, lack of public space, and last but most important, the lack of public trust in planners. With this problem setting in mind there are a few questions that become the backbone of this thesis: How could we use infrastructure and open-space to describe the future of Bucharest? Can they act as frameworks to produce a new paradigm for the city? Can Bucharest become a testing ground for conjectures that become relevant at a wider scale? These are the main questions to which this thesis research should be able to answer. By developing conjectures illustrating how Bucharest could be shaped around infrastructure and open-space, the ambition of this work is to produce guidelines and tools for an isotropic and permeable Bucharest."
15,2012,Spring,Building Back Better: The redevelopment of Bam in Post-disaster Condition,Building Back Better,The redevelopment of Bam in Post-disaster Condition,"Bam, Iran",29.1059864,58.3565663,NA
16,2009,Spring,"City Competence through Strategic Spatial Configutation: Case Study: Queretaro, MX",City Competence through Strategic Spatial Configutation,Case Study,"Queretaro, Mexico",20.5927744,-100.3902245,NA
17,2011,Spring,Colouring the Patchwork Metropolis,Colouring the Patchwork Metropolis,NA,"Randstad, Netherlands",52.3780424,5.2260721,"Adieu compact city As stated by Jan Neutelings, in a complex area like the Randstad conurbation the model of compact city based on the romantic polarity between a paradisal Arcadia and a megalomaniac metropolis has long been inadequate for interpreting the reality of the situation. The dissolution of the old European town seems to be irreversible, although nobody can predict its specific future formation in social and spatial terms. In view of the structural problems and uncertainties, how can town planning find a way from its present resigned position? From the Randstad to the patchwork metropolis The concept of the patchwork metropolis overcomes the compact city limits, defining a new territorial structure composed by an endless juxtaposition of shifting patches. A model that considers planning as a pointless activity. Should we just give up in front of the impossibility to coordinate the Randstad? The necessity to guide The aim of this project was to allow and guide the transformations, that anyway will affect the territory, respecting those main qualities that characterize each patch. According to the highlighted features and the relations with the slow and fast networks some patches will be protected within an accelerating territory under changing processes. The patchwork model calls for a change of paradigm: the fact of the matter shifts from where to build the next patch of neighborhood, towards how to build within the patchwork."
18,2013,Spring,Connecting the megalopolis: Corridors for integrated air and public transport networks in the megalopolis of Mexico.,Connecting the megalopolis,Corridors for integrated air and public transport networks in the megalopolis of Mexico.,"Mexico City, Mexico",19.4326296,-99.1331785,NA
19,2010,Spring,Constructing the in-between metropolitan landscapes: An open space strategy for the Barcelona Metropolitan Region,Constructing the in-between metropolitan landscapes,An open space strategy for the Barcelona Metropolitan Region,"Barcelona, Spain",41.3828939,2.1774322,"The thesis attempts to understand the processes of metropolization occurred during the last decades in the Barcelona Metropolitan Region in terms of change of scale, new functions and physical transformations of the urban landscape. The dispersed and fragmented landscapes of expansion are analyzed to understand which are the elements of conflict and discussion in order to define new possible futures for the region. The main objective of the thesis is to understand how the fragmented in?between metropolitan landscapes have been created, to analyse the patterns of occupation and transformation and to investigate the potentials they have to be constructed in the future in a much more integrated and sustainable way. The methodology of the regional analysis carried out goes through the historical evolution of the region focusing on the processes of urbanization, industrialization and development of infrastructures. The study shows how along the defined stages, the relation between city and nature has evolved until the present situation where its boundaries are fragmented and blurred. The analysis of the different patterns of growth and its extrapolation allows to develop different possible models of growth. A closer up in the Vallès Plain area allows the definition of specific strategies aligned with the regional developed scenario. In order to shift from large scale diagrams and scenarios to a closer approach on reality, an area is designed as a test of its spatial quality."
20,2014,Spring,Contextualizing Edges: the rural case of Sardinia,Contextualizing Edges,the rural case of Sardinia,"Sardinia, Italy",40.0912813,9.0305773,"The phenomenon of the depopulation affects the spatial configuration of the countryside, and how inhabitants use it. The thesis explores the region of Sardinia, Italy, with the aim as first to map the problem through experimental methodology, and finally to propose solutions which can be applied elsewhere. The thesis is not only a process of research through mapping, but it's also the story of the region itself told using a vast usage of experimental mapping, and complex info-graphics."
21,2009,Spring,Creative cultural incubator carpet in western gateway of Seoul,Creative cultural incubator carpet in western gateway of Seoul,NA,"Seoul, South Korea",37.5666791,126.9782914,NA
22,2009,Fall,De-fragmenting Athens: Drosscape as a device for integration between the metropolitan and the local scale,De-fragmenting Athens,Drosscape as a device for integration between the metropolitan and the local scale,"Athens, Greece",37.9755648,23.7348324,"The city of Athens underwent a rapid expansion that initiated in the 1950s and 1960s because of the transition from the agricultural to the industrial economy. Today, the capital of Greece is undergoing different transformations due to the shift from the industrial to the postindustrial and informational era. These observations could lead us to question the future of the city of Athens and of the Attica territory as a whole and could make us realize the potentialities of the drosscape within the Attica basin. Dross is the residual of the urban processes, the left-over, in other words the waste landscapes of the territory. The thesis attempts to confront the problem of wastelands, drosscape and brownfields and research for new tools to deal with them. The thesis is design-oriented and as a project attempts to transmit knowledge by integrating the different scales of city and territory. The main research question investigated is: «How can we re-use the waste landscapes of the Attica basin by combining the needs of both the metropolitan and the local scale? ». The analysis aimed at identifying the dross areas while looking at the factors contributing to their formation and trying to predict the future waste landscape within the specific territory of Athens. By looking at the drosscapes as a potential for the city, the design used the method of scenarios in order to investigate potentialities and risks."
23,2017,Spring,Design methods for a water-sensitive city: Brasília as a case study,Design methods for a water-sensitive city,Brasília as a case study,"Federal District, Brazil",-15.7754462,-47.7970891,NA
24,2012,Spring,Enabling infrastructures: Rethinking urban informality in Guadalajara,Enabling infrastructures,Rethinking urban informality in Guadalajara,"Guadalajara, Mexico",20.6720375,-103.338396,NA
25,2018,Spring,"Engaging Socio-Spatial Fragmentation Through Public Domain: Gated Communities in the Greater Metropolitan Area, San Jose, Costa Rica",Engaging Socio-Spatial Fragmentation Through Public Domain,"Gated Communities in the Greater Metropolitan Area, San Jose, Costa Rica","San Jose, Costa Rica",9.9325427,-84.0795782,"Gated communities exist in most urbanized contexts around the world and San José, Costa Rica is not the exception. Following the discourse of insecurity and the claim of building community with-in the confinement of the gates, new developments are constructed with a peripheral wall. As gated communities diversify to all available markets they have self-segregated from the city. <br/>The result is a city composed by clusters of enclaves separated by functions thus, car dependent and in detriment of the public space. Under this condition this thesis research will focus on possible spatial strategies to modify public spaces with the aim to allow for and facilitate social interactions in areas that are dominated by gated communities. Using as a starting point the understanding that public spaces mediate between the private spaces, thus having an important role in the confronting process of socio-spatial fragmentation and that the promotion of public spaces can address the imbalance manifested by the privatization of public spaces (Madanipour, 1999). <br"
