ID,grad_year,grad_sem,full_title,title,subtitle,loc,lat,long,abstract
61,2021,Summer,"Reimagining the New Density in Apartment Urbanism: The conflicted social and economic space of apartment complexes in Seoul, Korea",Reimagining the New Density in Apartment Urbanism,"The conflicted social and economic space of apartment complexes in Seoul, Korea","Seoul, Korea",37.5666791,126.9782914,"Seoul, the capital city of Republic of Korea, has gone through rapid and compressed growth since 1960s as a response to reconstructing the city after the devastating crisis of Korean War. In part of facilitate the development, the national government has actively adopted the form of apartment under supportive national policies and planning instruments. The mass production in large quantities of apartment complexes has rested on the conviction that it would be an effective device to deal with ultra-dense environment in Seoul where the skyrocketing population growth has challenged the demand of adequate living space (Kim, 2018).<br/>It is true that densification is one of the core in contemporary society, giving essence in urbanity. It has been always the intriguing topic in urbanism which dominates and imposes the prevailing theories and manifests at that ages. Yet, what constituted the density in apartment complexes in Seoul is the logic of capitalism, where the quantity of floor area of verticality decides everything in speculating the gainable maximum profits. Importantly, the challenges inherent in apartment lie at its scale of complex (block), not at the building itself, as Grands Ensemble, where the characteristics of enlargement and internalization execute the exclusivity and polarization between spaces. While the more than half of Seoul’s citizens are living in apartments, the ongoing phenomenon of producing apartment complex would continue to proliferate, as the desire to live in luxurious and enclosed community will not disappear. <br/>This graduation project aims to explore the new role of apartment complexes in relation to urban fabric, and to open the discussion for envisioning integrated and dynamic living environment. Therefore, it seeks the new definition of ‘Apartment Urbanism’ in Seoul, where the density is represented not only by form, but also by its function and overarching relationships that operate simultaneously. Borrowing the lens of ‘depth structure’, the orienting concept in implementing design strategies as territorial, scalable and institutional depths, this project argues that the despite the rationale in area-based approach characterized by rigid zoning system, the relation-based approach using patterns delivers the possibility to embrace all interacting and conflicting forces as a cohesive language. Conditioned at different settings of private and public properties, it proposes a model that is more adjustable to the context and adaptive to process, ultimately shaping the synergetic relationship between spaces and people."
62,2021,Spring,Resilient Medway River Landscape: Adaptive Design Strategies for a Sustainable Coastal Landscape,Resilient Medway River Landscape,Adaptive Design Strategies for a Sustainable Coastal Landscape,"Medway, United Kingdom",51.4157386,0.5687308512408333,"Coastal areas and riverine cities accommodate the great majority of the world’s population, but they are extremely vulnerable to flooding risks. In the cities next to the Medway River estuary, the capacity to adapt to flood risks had been weakened by urban development and intense industrial usage. This degrading led to the loss of flood buffers and the recreational value of the coastal landscape. Moreover, climate change threatens large areas of nationally important habitats in the estuary. Coastal habitats are likely to be submerged by the rising sea. The rise in sea level can also accelerate the natural erosion of coastal cliffs. To address these problems, a more resilient landscape approach is needed to increase the coastal resilience. Therefore, this design-related research regarded resilience as the theoretical backbone, embraced landscape-based design approaches, including layer approach, scenario study, and mapping as research strategies. The project developed and applied design strategies in three lower-scale sites. First, the site on the Isle of Sheppey focused on coastline protection. A nature-based offshore island structure is proposed to diminish the surf, create space for tidal habitats, and provide recreational use. Next, on the Rainham coastline, to respond to intertidal habitat loss, managed realignment and growing marshes are the key strategies to restore the dynamics of the ecosystem. Last, the study proposed a transformation scheme for the Medway city estate site to relocate flood defence, provide space for tidal rivers, and accommodate mixed-use development. Each proposal could grow with time, increase ecological benefits, and create multifunctional programs. In the end, the study framed a vision on regional development, aiming to increase the socio-ecological resilience of the Medway river landscape."
63,2017,Spring,"Retrieving the synchronicity between people and water: A spatial study of water resilient megacity, a sprawling unplanned urban tissue Dhaka",Retrieving the synchronicity between people and water,"A spatial study of water resilient megacity, a sprawling unplanned urban tissue Dhaka","Dhaka, Bangladesh",23.7644025,90.389015,NA
65,2017,Spring,Self-driven MRDH: A Method to Assess the Impact of Automated Vehicles on Urban Liveability in the Rotterdam The Hague Metropolitan Region,Self-driven MRDH,A Method to Assess the Impact of Automated Vehicles on Urban Liveability in the Rotterdam The Hague Metropolitan Region,"Rotterdam, Den Haag, NL",52.0996123,4.2976944,"This project aims to build a spatial method to assess the impact of automated vehicles (AV) on liveability in the urban environment. The method is based on the tools of scenario construction, transect analysis and urban section, and is tested in the Rotterdam The Hague Metropolitan Region (MRDH). The goal of the method is to enable the urbanist to participate as a forerunner in the interdisciplinary discussion on the development of this novel technology.<br/><br/>Despite the potentially important positive and negative effects of automated vehicles on mobility and human life in general, their spatial represent a research gap which must be addressed by urbanism. In order to do so, the profession must have a specific aim and method. The identified aim is urban liveability, which is defined in the project as a combination of three criteria, performance and impact of mobility, natural and built environment, and society and economy, both in regional and local scales. In building a method to work with AV, the project resorts to two specific instruments of urbanism: foresight (scenario) and through-sight (transect and section). The method was designed in the following way: first, two main driving forces of spatial change were extracted from the available literature on AV, density and separation of flows. Secondly, the territory of the MRDH was analysed through the prism of these drivers using the transect method. The transect was applied to the most intense metropolitan axis between the two urban cores Rotterdam and The Hague. On this axis, data regarding urban subzones, network accessibility and liveability data were superimposed to understand the connections between urban fabric, mobility and liveability on which the scenarios would be built. Further, three critical points in different settings were chosen for case studies: an urban centre, a residential area and an urban edge with motorway links. <br/>The main step of the method is scenario construction. Using the driving forces of density and separation of flows, and based on hypotheses available in literature regarding AV and the evolution of the region, four extreme scenarios were described: Clockwork Utopia, characterised by concentrated urbanity and AV separated from other flows; Shared Patchwork, characterised by concentrated urbanity and AV leading to merger of flows; Efficient Garden Region, characterised by dispersed urbanisation and separated flows; and Infinite Randstad, characterised by dispersed urbanisation and merged traffic flows. The scenarios were inspired by various theoretical models, visionary and realised projects. In the second stage of scenario construction, Clockwork Utopia (S1) and Infinite Randstad (S4) were further developed. For both scenarios, regional models of networks and urban fields were designed, and the three case study locations were analysed using the urban section. For each of the case studies a package of briefs, for urbanism, architecture and society, were proposed based on the liveability analysis, and the specific context of the scenario. The solutions in the section have a research-by-design character, used to test the reciprocal resistances of the urban space and the AV technology which need to be overcome.<br/><br/>Finally, the scenarios were evaluated using the liveability criteria and future directions of research, design and policy were proposed. Overall, S1 could be described as an extreme evolution of current trends, where AV has a propelling role, while S4 is a radical change, with AV as trigger, creating new urban occupation patterns and lifestyles. Further attention needs to be accorded to the research of AV safely sharing the urban ground with pedestrians and cyclist, impacts on urban sprawl, connected energy systems and territorial coverage, to design spaces for socio-economic encounter and new architectural programs incorporating AV, as well as to policies regarding traffic management, active mobility and tackling economic disruptions.<br/><br/>This thesis aimed not necessarily to give answers to all of these questions, but to open windows for the urbanist to imagine the future of the relationship between city and AV technology starting from liveability. A future not for a driverless, but a self-driven city."
66,2014,Spring,"Shifting Centralities, Shared Lines: A redefined role for the peri - urban space in Delhi, National Capital Region","Shifting Centralities, Shared Lines","A redefined role for the peri - urban space in Delhi, National Capital Region","Delhi, India",28.6273928,77.1716954,NA
68,2014,Spring,Suburban potential: The challenges and opportunities of greyfield regeneration in Melbourne,Suburban potential,The challenges and opportunities of greyfield regeneration in Melbourne,"Melbourne, Australia",-37.8142454,144.9631732,NA
70,2009,Fall,Tehran Underground,Tehran Underground,NA,"Tehran, Iran",35.6892523,51.3896004,NA
71,2010,Fall,Tehran has a Coast: 35N51E2050,Tehran has a Coast,35N51E2050,"Tehran, Iran",35.6892523,51.3896004,"Tehran as a New Town can be described as those human settlements that were founded at a certain moment in history by an explicit act of will, according to a preceding plan and aiming to survive as a self-sustaining local community and independent local government. It indicates the role of the City as, New Town, as an iconoclastic form of Political expression via Planning. The Problem By 2050 Tehran needs almost double urban area with the current density. But the city is geographically limited. The problem is becoming serious when the city finds the way to expand beyond its natural limits. New territories will be attached to the Tehran’s plain, as a part of time-space perception of the city, which will increase the uncertainty and it will make the city freeze in a transition form. The spatial structure of the city is very complex. It is the physical outcome of the subtle interactions over centuries between land markets, topography, infrastructure, regulations, and taxation. The complexity of urban spatial structures has often discouraged attempts to analyze them and even to try to relate urban policy to city shape. The Method Different dimensions of the question are being explored in each part; the thesis has structured based on series of hypothesis in different scales. The attempt is directed towards exploring different possible futures for the Region [by 2050]. The main theme has formulated as the form of Scenario: What if Tehran had a Coast"
72,2021,Summer,"The Porosity of the Purgatory: Tools for an alternative development of East Naples","The Porosity of the Purgatory",Tools for an alternative development of East Naples,"Naples, Italy",40.8358846,14.2487679,"Among the many cities that lost their status of capital with the Italian unification, Naples is the one that struggled the most to reconcile with its past. With the cholera outbreak of 1874 the criticalities of centuries of uncontrolled urban development under foreign kings rose to the fore of the public opinion of the Kingdom of Italy. Yet, for the following decades until nowadays, institutions and politicians failed in providing an integrated vision for the city that could give it a new inclusive identity. Instead, lack of dialogue, path dependency among stakeholders and scarce involvement of communities served the interests of a weak entrepreneurial class and extremized the social problems of the old capital.<br/> King Ferdinando II and Francesco II of Bourbon, the last royals of Naples, saw in the geographical position of the South of Italy the protection of their power: as they liked to say, the peninsula was confining with the salty water of the Mediterranean Sea toward south and the Holy water of the Vatican state up north (Astarita, 2006). This image not only reflected the attitude of the monarchs in international affairs, but it also reveals the two major constraints that have hampered the Neapolitan urban development: a problematic relationship with the sea and the unwillingness to open to a diverse liberal society. <br/>What had grown in between these two limits, was what Walter Benjamin and Asja Lacis would have referred to as the Porous city (Benjamin, Lacis, 1925). When the two visited Naples in 1925 found an obstinately antimodern city where the people had the same consistence of the stone that constituted its walls and that, in its rejection of dichotomies, was a distant alternative to the rational northern European cities which the authors were so used to. According to their description, the urban environment of the Parthenopean city was extremely promiscuous: families from different social extractions used to share the same ancient buildings and attend the same squares, where a crowded market poured into the street in a continuous swarm of praises and trades, that could only be broken open by the sudden passage of a religious procession. <br/>Since then, this image lived a life of its own, having a profound impact on the imaginary of urbanists and planners across the world and reoccurring in different forms in the speeches and texts of researchers over the last seventy years. Most notably, the Italian duo Bernardo Secchi and Paola Viganò reinterpreted this concept in their work for the city of Antwerp in 2009 (Secchi, Viganò, 2009). The two urbanists, in fact, would later explain how the theme of porosity does not only concern the material quality of the buildings but rather more the different ways through which different city users appropriate the space. As such, porosity allows for diversity in the urban environment maximizing social and economic interaction (Tallen, 2008), thus enabling kinship network, the system of formal and informal relationships that make up a community to be active and thriving.<br/>But what is left of the porosity of Naples? Since the end of the XIX century, having by then lost the role of capital, the city had to go under a much-needed process of reinvention and even if originally Naples had to be a maritime city, the foreign rulers, especially during the two centuries before the Italian unification, never developed the full potentiality of the port (Di Mauro, 2006). Under the new regime instead, the Neapolitan elite class rediscovered the sea in its potential for the industrial development. Following logic of economic efficiency and rationality led to new patterns of expansion and consumption of land (Ascher, 2001) and the insalubrious territories, once considered the limit to urban expansion, became the desirable location for the new Industrial city. The old walls of the city where gradually demolished and the city began its expansion towards east in the Borgo Loreto, the marshy delta of the Sebeto river and the, at the time separate, town of San Giovanni a Teduccio. These Bad lands (Secchi, 2006) were necessary for the current socio-economical functioning of the city, not only, because they hosted the construction of warehouses and fabrics, but especially, because they accommodated the rural immigrants that would have constituted the human capital of the new economy. For many, these transitional cities have been constituting the access to the urban social network and economy and they retained this function even when the deindustrialization took over the initial motivation of their existence. The lack of access to facilities, poor housing conditions, low property value and population decline transformed these lands into enclaves for the low-income classes and those who are excluded by the society (Grahame Shane, 2005). Conversely, the Neapolitan upper and middle classes steadily fled the historical centre to pursue a new lifestyle on the hills up west and restructured the city to serve their interests. Nowadays Naples has partially lost its porosity and presents many visible and invisible barriers, whether are they segregating infrastructures, low quality urban and housing environment, monofunctional districts, differences in the social status and political representation. <br/>Since the 70s attempt to convert the city’s economy to the tertiary sector, Naples’ development has been driven by the alleged will of answering to the many crises of the city without ultimately being successful (Galasso, 1987). This is, in some measure, due to the fact that the city’s institutions are still partially tied to their conception of the “Holy water” that manifests itself in a in a scarce attitude towards change that results in institutional inertia (De Martino, 2020). Emblematic in these regards are the not fulfilled promises of the at the time just elected new mayor of the city Luigi de Magistris toward the Islamic community in Eastern Naples. This rapidly growing community had been promised in 2011 the construction of the first Mosque of city and an Islamic cemetery. Only after 10 years, at the peak of the Covid-19 pandemic, in August 2020, the municipality granted the concession for the use of a land to bury the dead (il Mattino, 2020). <br/>The genealogy of the Eastern Naples returns the image of a bad land that has never been given the proper tools for development and whose communities have never been involved in the decision making. Nowadays as then, it is a Purgatory, a city of perennial transition, of goods and people: the established Neapolitan population that aspires to move to other parts of the city or the immigrants arriving from overseas.<br/>In this work, I explore how can the study of the porosity of the urban environment set the bases for a community-based design approach. After having delved into the study of the context of the East Coast of Naples, I focus on the Case Nuove and Mercato del Ferro areas, the first districts to be built outside the former walls of the city in the old Borgo Loreto, and their relationship with the Mercato, the historical neighbourhood grown behind the city walls. The two are institutionally one administrative entity and share an increasing lack of porosity that manifests itself in visible and invisible barriers, problematic social issues, and low quality of the urban environment. Taking this case as example, I will define a design process and stakeholders engagement strategy through which to answer the question: Through what means can Eastern Naples provide a spatially just alternative for its citizens?<br/><br"
73,2017,Spring,"The sensitive river scape, the sinuous territory: Transforming Dajia River Basin as a Water-Sensitive Landscape Infrastructure","The sensitive river scape, the sinuous territory",Transforming Dajia River Basin as a Water-Sensitive Landscape Infrastructure,"Dajia River, Taiwan",24.2263679,121.0442452,"This project explores the landscape potential of Taiwanese river valley in terms of integrating water and river management with urbanism within the context of a dense environment diversity as well as a highly sensitive and dynamic landscape. Taking one of the most illustrative river basin, Dajia River, the steepest river with the most water resource, as the study case, the project intends to test the hypothesis of perceiving mountainous river as opportunities for transforming the river valley as water-sensitive landscape infrastructures. Based on the theories of landscape urbanism, especially the discourses of landscape infrastructure, the project argues that by enhancing water sensitivity in living environment within river scape, the characteristic of landscape can help building a stronger identity for the territory and its inhabitants. Contextualizing the learnings from theories and practices with context analysis, the research integrates principles, strategic tools and spatial potentials at the regional scale, proposing operative landscape structures as the spatial framework for the future development of the river valley. Based on this spatial framework, strategies for transformation are introduced for upstream, midstream and downstream areas according to their respective situations. Then two zoom-in sites, one at the upstream and the other at the downstream areas, are selected to demonstrate possibilities and potentials through design intervention for integrating water infrastructure with spaces of local habitation and activities. To support the proposals with better feasibility, the project phasing and institutional framework will also be proposed, identifying the priority and potential actors in the process. With reflections on the contribution to the fields, suggestion to the current planning system, and evaluation of mutual influences between different sites within the river catchment, the thesis expects to provide a showcase with methodology, strategic tools, and spatial possibilities integrating different cases of interaction between human activities and river environment. More importantly, the project exhibits the spatial potential of a mountainous river landscape as an active role in engaging socioeconomic with nature, as well as guiding the spatial transformation of the territory for the future."
74,2021,Summer,"Towards a Critical Urbanism: Evaluation and revision of the Open Society concept (Welfare Stateperiod) across Western Europe: the Netherlands and Spain.",Towards a Critical Urbanism,"Evaluation and revision of the Open Society concept (Welfare Stateperiod) across Western Europe","Eindhoven, The Netherlands",51.44855695,5.450122521857143,"Currently, there is a growing gap between theory and practice in urban and architecture fields, that requires dialogue on multiple fronts, scales, and new perspectives. Bridging this gap and achieving a successful transition to a new era. In which theory and practice must work together cohesively creating new methods, models, new points of interest, new forms of professional practice and a new vision. The concept of Open Society is chosen due to the similarities of the situation between today and then (1960s), such as: housing shortage, polarization of discourse and reduction of plurality, increase in social inequality and large global migrations. For this reason, it was decided to study this concept and its projects as the starting point and symbolic break of this long investigation of the modernist project and its attempt to bridge theory and practice. The concept of Open Society appeared in the field of urbanism between the 50-60s, the Welfare State, as an attempt to improve living conditions in the city so that society would prosper. These good intentions did not translate into many success stories and the consequences of these operations continue to cause problems today, as can be seen from the current multiple crises (social, economic, environmental, etc.).<br/>Today there are new approaches to the built environment, which allow or offer us new possibilities to reinterpret the concept of Open Society, something of great importance still in contemporary urban discourse. For this reason, this study proposes to carry out a double investigation on the concept of Open Society (both empirical and conceptual) that will provide knowledge about this concept in two Western European countries. This will help to build a network of knowledge around topics of interest in urban matters. This research aims to investigate and analyze the discursive and projective validity of the concept of Open Society today, the relation between concepts-realities (places), and a critical methodology (open framework) that engages between theory and practice in a continuous dialogue as follows:<br/>-Critically review the concept in the theoretical framework and contemporary global policy frameworks (new urban agenda, theoretical critiques, technical code, etc.).<br/>-Empirically review two case studies that illustrate the implementation of this concept, the phenomena and patterns that have arisen in the friction between the place, the ideals (concept) and the resistance generated by the users.<br/>This research uses a mixed methods approach to examine these two case studies and draw conclusions, and also reflect on the principles and possible unlocking mechanisms. In this way, we generate a discursive break towards a new vision of this concept, which advocates a diverse, inclusive, fair and cohesive ecological societies."
75,2009,Fall,Tracing Scopes of Action: Design Principles to Approach the Complexity of the Urban Block: Along Case Studies in [Paris],Tracing Scopes of Action,Design Principles to Approach the Complexity of the Urban Block,"Paris, France",48.8534951,2.3483915,NA
76,2011,Spring,Turning rural: Enabling sustainability in remote settlement patterns in Ireland,Turning rural,Enabling sustainability in remote settlement patterns in Ireland,Ireland,52.865196,-7.9794599,"This thesis is about the development and testing of an approach that addresses the particular challenges of remote rural settlements, due to conflicting trends of outmigration and rural repopulation, and relates to the planning processes which affect them. Key to this approach is the optimisation of ecosystem services. This is based on the hypothesis that this can inform more sustainable settlement patterns through ecology and economy."
78,2018,Spring,"Urban Landscape Infrastructures in Anuradhapura, Sri Lanka: An integrated urban regeneration strategy employing urban landscape infrastructures as armatures for sustainable development","Urban Landscape Infrastructures in Anuradhapura, Sri Lanka",An integrated urban regeneration strategy employing urban landscape infrastructures as armatures for sustainable development,"Anuradhapura, Sri Lanka",8.334985,80.4106096,"Traditional urban design approaches have failed to address changing urban conditions such as the ecological crisis, extreme weather events, and urbanisation. There is a need to explore new approaches which are able to deal with the holistic nature of the landscape. The aim of this research is to develop an integrated urban regeneration strategy employing urban landscape infrastructures as armatures for sustainable development in the case of Anuradhapura, Sri Lanka. <br/>The research defines the different problems that the city is facing and identifies a theoretical framework to transform the urban landscape using different concepts in the field of landscape urbanism and in particular landscape as infrastructure. The objective is to develop an approach which integrates the social, economic, and ecological aspects of the landscape.<br/>Through a comprehensive analysis of the landscape of Anuradhapura, the logic of the different systems is identified. Five landscape perspectives are used to structure the research into coherent parts. These different parts detail how the different landscape structures and elements interact in order to form a complex system. The learning is combined in order to form a whole using the concept of space of flows.<br"
81,2017,Spring,Urban-Landscape Transformation along CBL Canal,Urban-Landscape Transformation along CBL Canal,NA,"Jakarta, Indonesia",-6.175247,106.8270488,"Indonesia is projected to be the world 7th largest economy country by 2030. This could be achieved by maximising the utilization of natural resources as well as infrastructure develop¬ment. One example is the infrastructure development of Jakarta with its surrounding metro¬politan area (JABODETABEK). Here, we see a rapid development of logistics infrastructure and one of the key project is the utilization of Cikarang-Bekasi-Laut (CBL) canal as inland waterway. Due to its topographical condition and soil type, the surrounding area of CBL has high poten¬tial for agriculture. Moreover, mangrove forest located in the north coastal area protects land from abrasion as well as a home for biodiversity. Those potentials are also contributed by rivers crossing over this territory, including CBL Canal. The transformation of CBL canal from flood¬way system into an inland waterway that connects Jakarta Port and the Cikarang industrial area has a strong prospective to trigger urban sprawl from Jakarta and industrial investment along the canal. At the same time this development threatens the landscape diversity and the identity of today’s territory. This research aims to investigate the possible impact of the transformation of three related systems: urban, production and nature. Two concepts are applied as research method: The Two Networks by Sybrand Tjallingii and Urban Metabolism. The outcome of this research is a structure plan for the regional area of the CBL canal and design principles on the local scale that aim to find possible synergism between urban, production and nature developments."
83,2007,Spring,re-generating the shrinking Japanese city: urban acupuncture,re-generating the shrinking Japanese city,urban acupuncture,"Nagoya, Japan",35.1851045,136.8998438,NA
